#{"t_start": 1745850807.8479297, "env_id": "None"}
r,l,t
80.0,17,2.465371
80.0,17,2.477784
32.0,17,2.490225
54.0,17,2.501137
80.0,17,2.51298
32.0,17,2.52451
54.0,17,2.535578
32.0,17,2.545136
32.0,17,2.556319
54.0,17,2.569299
80.0,17,2.586475
80.0,17,2.599163
14.0,17,2.611541
32.0,17,2.623915
32.0,17,2.634469
54.0,17,2.64465
32.0,17,2.655664
80.0,17,2.664891
54.0,17,2.676685
54.0,17,2.689186
32.0,17,2.701753
14.0,17,2.714452
32.0,17,2.727278
54.0,17,2.740664
54.0,17,2.751926
32.0,17,2.763084
32.0,17,2.772304
54.0,17,2.782094
80.0,17,2.791257
80.0,17,2.803201
54.0,17,2.815511
54.0,17,2.827718
80.0,17,2.839795
54.0,17,2.853097
32.0,17,2.865201
32.0,17,2.875998
32.0,17,2.886601
54.0,17,2.896861
32.0,17,2.906446
32.0,17,2.916165
80.0,17,2.925431
54.0,17,2.937169
80.0,17,2.94966
32.0,17,2.962307
80.0,17,2.975047
54.0,17,2.987628
80.0,17,3.000076
54.0,17,3.01074
80.0,17,3.023403
80.0,17,3.032994
54.0,17,3.048093
80.0,17,3.06021
32.0,17,3.072201
80.0,17,3.084282
32.0,17,3.096305
58.0,17,3.108183
54.0,17,3.118465
80.0,17,3.128482
32.0,17,3.13853
32.0,17,3.14783
80.0,17,3.15946
80.0,17,3.172156
80.0,17,3.184919
32.0,17,3.197527
54.0,17,3.210018
54.0,17,3.222412
32.0,17,3.232876
80.0,17,3.242375
32.0,17,3.253337
80.0,17,3.26346
54.0,17,3.273977
32.0,17,3.284406
54.0,17,3.294019
32.0,17,3.304045
32.0,17,3.313781
54.0,17,3.323464
54.0,17,3.333194
54.0,17,3.341293
80.0,17,3.349413
32.0,17,3.357341
32.0,17,3.365996
32.0,17,3.376005
14.0,17,3.385993
54.0,17,3.394485
80.0,17,3.404373
80.0,17,3.412907
54.0,17,3.421496
32.0,17,3.431059
54.0,17,3.441019
58.0,17,3.450471
54.0,17,3.460213
54.0,17,3.474122
54.0,17,3.484622
54.0,17,3.495251
32.0,17,3.504495
54.0,17,3.514379
32.0,17,3.526441
80.0,17,3.538497
80.0,17,3.550634
54.0,17,3.562911
54.0,17,3.575052
54.0,17,3.585219
54.0,17,3.593628
54.0,17,3.601063
54.0,17,3.61084
54.0,17,3.620716
32.0,17,3.630524
54.0,17,3.640239
32.0,17,3.649941
32.0,17,3.6598
54.0,17,3.667918
80.0,17,3.67622
54.0,17,3.684495
54.0,17,3.694258
54.0,17,3.70401
32.0,17,3.713837
32.0,17,3.723703
80.0,17,3.731968
32.0,17,3.740207
80.0,17,3.747455
80.0,17,3.755434
54.0,17,3.762878
54.0,17,3.771118
80.0,17,3.781501
32.0,17,3.791602
32.0,17,3.802928
80.0,17,3.813071
32.0,17,3.823101
80.0,17,3.833035
54.0,17,3.843322
80.0,17,3.851581
14.0,17,3.859852
80.0,17,3.86722
54.0,17,3.87424
54.0,17,3.883271
54.0,17,3.893063
54.0,17,3.902931
32.0,17,3.912761
32.0,17,3.922605
54.0,17,3.93257
80.0,17,3.942613
32.0,17,3.952606
80.0,17,3.960819
32.0,17,3.969428
54.0,17,3.977075
32.0,17,3.98581
32.0,17,3.992996
80.0,17,4.002914
80.0,17,4.013141
32.0,17,4.023483
54.0,17,4.034975
32.0,17,4.045438
54.0,17,4.055386
54.0,17,4.065145
32.0,17,4.073482
32.0,17,4.081732
54.0,17,4.089319
80.0,17,4.097092
80.0,17,4.104417
40.0,17,4.112747
54.0,17,4.122802
54.0,17,4.132793
80.0,17,4.142836
58.0,17,4.152962
32.0,17,4.163216
54.0,17,4.175618
80.0,17,4.184719
54.0,17,4.193101
80.0,17,4.20177
54.0,17,4.212091
54.0,17,4.221939
58.0,17,4.231806
58.0,17,4.241633
14.0,17,4.252011
80.0,17,4.26022
32.0,17,4.268613
32.0,17,4.276277
54.0,17,4.284145
54.0,17,4.291328
80.0,17,4.300004
32.0,17,4.309798
32.0,17,4.31956
54.0,17,4.329289
80.0,17,4.339135
80.0,17,4.348941
54.0,17,4.358816
54.0,17,4.368803
54.0,17,4.377094
80.0,17,4.385419
54.0,17,4.393004
80.0,17,4.400595
80.0,17,4.40791
54.0,17,4.415919
32.0,17,4.426976
54.0,17,4.436455
32.0,17,4.444093
54.0,17,4.451679
32.0,17,4.459049
32.0,17,4.466534
14.0,17,4.473922
80.0,17,4.481247
80.0,17,4.490635
54.0,17,4.500288
58.0,17,4.510047
54.0,17,4.519687
32.0,17,4.529441
32.0,17,4.539168
54.0,17,4.548924
32.0,17,4.558789
54.0,17,4.56787
32.0,17,4.576304
32.0,17,4.583732
32.0,17,4.591391
32.0,17,4.599122
80.0,17,4.606952
32.0,17,4.614338
80.0,17,4.622454
32.0,17,4.632431
32.0,17,4.642318
32.0,17,4.652177
32.0,17,4.661871
14.0,17,4.671643
32.0,17,4.681384
54.0,17,4.69101
58.0,17,4.699365
54.0,17,4.710391
32.0,17,4.718541
80.0,17,4.726101
54.0,17,4.733843
32.0,17,4.741596
80.0,17,4.749716
58.0,17,4.759686
80.0,17,4.769677
80.0,17,4.780069
32.0,17,4.790195
54.0,17,4.800321
54.0,17,4.810398
32.0,17,4.820347
80.0,17,4.828673
54.0,17,4.836951
32.0,17,4.844459
54.0,17,4.851672
58.0,17,4.859813
80.0,17,4.869586
80.0,17,4.879266
54.0,17,4.888977
80.0,17,4.898624
54.0,17,4.908328
32.0,17,4.91811
32.0,17,4.929187
32.0,17,4.937739
32.0,17,4.946174
58.0,17,4.953782
54.0,17,4.961698
54.0,17,4.96907
80.0,17,4.97734
80.0,17,4.98757
54.0,17,4.997821
80.0,17,5.007877
58.0,17,5.017872
80.0,17,5.027791
80.0,17,5.037668
54.0,17,5.047445
32.0,17,5.055783
80.0,17,5.064074
54.0,17,5.073007
32.0,17,5.080848
54.0,17,5.088402
58.0,17,5.096437
32.0,17,5.103784
32.0,17,5.11073
80.0,17,5.120292
54.0,17,5.130042
80.0,17,5.14008
54.0,17,5.149843
54.0,17,5.161708
80.0,17,5.171744
80.0,17,5.181555
80.0,17,5.190024
32.0,17,5.197412
80.0,17,5.205498
54.0,17,5.215606
80.0,17,5.225649
32.0,17,5.235547
54.0,17,5.245396
32.0,17,5.255266
80.0,17,5.265126
80.0,17,5.274956
80.0,17,5.283371
54.0,17,5.293956
54.0,17,5.301603
80.0,17,5.3092
32.0,17,5.316544
80.0,17,5.324575
54.0,17,5.33447
80.0,17,5.344404
80.0,17,5.354455
54.0,17,5.364464
54.0,17,5.374494
32.0,17,5.383793
80.0,17,5.393846
54.0,17,5.40384
54.0,17,5.412254
80.0,17,5.420923
32.0,17,5.428713
80.0,17,5.435885
80.0,17,5.442964
80.0,17,5.452269
32.0,17,5.462067
32.0,17,5.472589
32.0,17,5.482372
54.0,17,5.492134
32.0,17,5.501863
32.0,17,5.511516
80.0,17,5.520913
80.0,17,5.529189
32.0,17,5.537492
80.0,17,5.545248
54.0,17,5.5525
80.0,17,5.559494
32.0,17,5.568828
80.0,17,5.578988
54.0,17,5.589195
80.0,17,5.600945
80.0,17,5.611033
80.0,17,5.622357
80.0,17,5.632355
32.0,17,5.641052
80.0,17,5.649233
32.0,17,5.657389
54.0,17,5.665709
32.0,17,5.672661
80.0,17,5.679854
54.0,17,5.690373
54.0,17,5.700084
80.0,17,5.709894
32.0,17,5.719612
32.0,17,5.729353
54.0,17,5.739093
54.0,17,5.748889
54.0,17,5.75791
32.0,17,5.766317
32.0,17,5.775349
14.0,17,5.783164
32.0,17,5.790653
54.0,17,5.797809
80.0,17,5.807156
32.0,17,5.817235
32.0,17,5.827234
32.0,17,5.838392
80.0,17,5.84848
54.0,17,5.858342
54.0,17,5.86823
80.0,17,5.877689
32.0,17,5.885891
54.0,17,5.894091
80.0,17,5.902175
54.0,17,5.909632
58.0,17,5.917127
54.0,17,5.924208
32.0,17,5.933212
54.0,17,5.943059
32.0,17,5.952909
80.0,17,5.962785
80.0,17,5.972723
32.0,17,5.982734
54.0,17,5.992815
54.0,17,6.002783
54.0,17,6.011032
80.0,17,6.02088
32.0,17,6.027985
32.0,17,6.035249
32.0,17,6.045162
32.0,17,6.054929
54.0,17,6.064732
54.0,17,6.07449
54.0,17,6.084122
54.0,17,6.093787
80.0,17,6.103511
80.0,17,6.112486
54.0,17,6.120674
32.0,17,6.129582
54.0,17,6.137283
54.0,17,6.144798
54.0,17,6.153201
54.0,17,6.161696
54.0,17,6.171676
80.0,17,6.18263
54.0,17,6.193287
32.0,17,6.203555
54.0,17,6.213653
32.0,17,6.223686
54.0,17,6.233775
54.0,17,6.243394
80.0,17,6.251768
32.0,17,6.260197
54.0,17,6.267976
80.0,17,6.275167
32.0,17,6.282271
32.0,17,6.291266
54.0,17,6.301158
54.0,17,6.312471
32.0,17,6.322295
32.0,17,6.332095
32.0,17,6.34196
54.0,17,6.351831
80.0,17,6.361299
54.0,17,6.369687
80.0,17,6.377737
80.0,17,6.385972
32.0,17,6.393992
54.0,17,6.402328
54.0,17,6.409592
32.0,17,6.416522
32.0,17,6.425998
32.0,17,6.435916
32.0,17,6.445815
80.0,17,6.45557
80.0,17,6.46539
54.0,17,6.475101
54.0,17,6.484641
54.0,17,6.494025
54.0,17,6.502146
80.0,17,6.51068
54.0,17,6.518432
32.0,17,6.527425
80.0,17,6.534942
80.0,17,6.543528
80.0,17,6.553484
32.0,17,6.563425
54.0,17,6.573388
80.0,17,6.583322
54.0,17,6.593508
80.0,17,6.603582
54.0,17,6.613616
80.0,17,6.621915
54.0,17,6.630423
54.0,17,6.638093
80.0,17,6.645591
54.0,17,6.652627
58.0,17,6.661238
54.0,17,6.671136
54.0,17,6.682267
32.0,17,6.692034
32.0,17,6.701774
54.0,17,6.711484
32.0,17,6.721128
54.0,17,6.730861
54.0,17,6.738986
54.0,17,6.748937
80.0,17,6.756935
54.0,17,6.764334
32.0,17,6.771439
32.0,17,6.782051
54.0,17,6.792251
80.0,17,6.802564
32.0,17,6.812744
80.0,17,6.823454
32.0,17,6.833603
32.0,17,6.843625
80.0,17,6.852573
54.0,17,6.860853
54.0,17,6.869096
80.0,17,6.877086
54.0,17,6.884061
80.0,17,6.891453
80.0,17,6.901205
80.0,17,6.910907
80.0,17,6.920608
80.0,17,6.9303
54.0,17,6.94
32.0,17,6.949802
58.0,17,6.959616
80.0,17,6.969652
32.0,17,6.978423
32.0,17,6.986688
54.0,17,6.994769
54.0,17,7.001926
54.0,17,7.009351
54.0,17,7.01958
32.0,17,7.02977
80.0,17,7.039919
54.0,17,7.049862
54.0,17,7.059804
32.0,17,7.069609
54.0,17,7.079514
40.0,17,7.088401
32.0,17,7.096513
80.0,17,7.105417
54.0,17,7.112861
80.0,17,7.121042
32.0,17,7.130213
80.0,17,7.140063
32.0,17,7.149845
80.0,17,7.159569
54.0,17,7.169357
54.0,17,7.179174
80.0,17,7.188983
80.0,17,7.198678
80.0,17,7.206868
54.0,17,7.215278
80.0,17,7.224138
80.0,17,7.231894
80.0,17,7.239661
54.0,17,7.247197
54.0,17,7.255789
80.0,17,7.265873
32.0,17,7.275838
54.0,17,7.285765
32.0,17,7.29564
54.0,17,7.305409
32.0,17,7.315192
54.0,17,7.324891
32.0,17,7.333068
32.0,17,7.340601
32.0,17,7.348778
54.0,17,7.356585
54.0,17,7.364765
80.0,17,7.372187
54.0,17,7.382178
54.0,17,7.392143
80.0,17,7.402425
80.0,17,7.412434
80.0,17,7.422487
32.0,17,7.43255
80.0,17,7.442694
54.0,17,7.451413
54.0,17,7.460282
80.0,17,7.468788
54.0,17,7.47701
32.0,17,7.484285
32.0,17,7.49308
54.0,17,7.503141
54.0,17,7.513106
80.0,17,7.52294
80.0,17,7.532805
54.0,17,7.542587
54.0,17,7.55485
32.0,17,7.564574
80.0,17,7.573362
80.0,17,7.581631
80.0,17,7.589837
54.0,17,7.597768
54.0,17,7.607628
54.0,17,7.617541
58.0,17,7.627405
80.0,17,7.637431
80.0,17,7.647492
80.0,17,7.657553
54.0,17,7.667518
54.0,17,7.676046
32.0,17,7.684417
54.0,17,7.692596
58.0,17,7.70098
80.0,17,7.710843
54.0,17,7.720709
32.0,17,7.730543
32.0,17,7.740553
80.0,17,7.750155
54.0,17,7.75826
54.0,17,7.766669
36.0,17,7.773852
32.0,17,7.780868
32.0,17,7.790268
54.0,17,7.800159
54.0,17,7.809978
80.0,17,7.819804
32.0,17,7.829754
32.0,17,7.839781
32.0,17,7.849902
54.0,17,7.859585
54.0,17,7.867971
54.0,17,7.876573
54.0,17,7.885935
54.0,17,7.893239
54.0,17,7.900243
80.0,17,7.909701
54.0,17,7.919526
14.0,17,7.929286
80.0,17,7.939035
32.0,17,7.948658
32.0,17,7.958357
58.0,17,7.967973
32.0,17,7.97742
32.0,17,7.985501
54.0,17,7.993868
54.0,17,8.001368
54.0,17,8.009008
58.0,17,8.016472
80.0,17,8.024836
54.0,17,8.034192
32.0,17,8.044307
54.0,17,8.054523
54.0,17,8.065084
32.0,17,8.075159
32.0,17,8.085146
80.0,17,8.095022
32.0,17,8.103634
80.0,17,8.112236
54.0,17,8.121035
54.0,17,8.12857
80.0,17,8.136768
54.0,17,8.143895
80.0,17,8.151533
80.0,17,8.161311
54.0,17,8.170976
54.0,17,8.180719
58.0,17,8.190418
54.0,17,8.200221
54.0,17,8.211297
54.0,17,8.221232
54.0,17,8.229772
32.0,17,8.239757
54.0,17,8.247481
54.0,17,8.25457
54.0,17,8.263792
54.0,17,8.27391
