#{"t_start": 1745837767.579715, "env_id": "None"}
r,l,t
62.0,17,2.627774
62.0,17,2.627898
54.0,17,2.62792
44.0,17,2.627931
32.0,17,2.62794
66.0,17,2.62795
44.0,17,2.627958
44.0,17,2.627966
40.0,17,2.850934
62.0,17,2.850985
26.0,17,2.850993
40.0,17,2.851001
18.0,17,2.851008
40.0,17,2.851015
62.0,17,2.851023
44.0,17,2.85103
32.0,17,3.225222
32.0,17,3.225274
80.0,17,3.225283
66.0,17,3.225291
54.0,17,3.225297
44.0,17,3.225304
26.0,17,3.22531
26.0,17,3.225317
44.0,17,3.665965
62.0,17,3.666019
40.0,17,3.666031
22.0,17,3.666044
26.0,17,3.666053
26.0,17,3.666061
44.0,17,3.666068
62.0,17,3.666075
66.0,17,4.162388
58.0,17,4.162447
58.0,17,4.16246
66.0,17,4.162469
44.0,17,4.162477
32.0,17,4.162485
40.0,17,4.162493
32.0,17,4.162501
26.0,17,4.665472
32.0,17,4.665561
62.0,17,4.665572
54.0,17,4.665579
40.0,17,4.665586
80.0,17,4.665592
26.0,17,4.665599
48.0,17,4.665605
40.0,17,5.153419
32.0,17,5.15347
40.0,17,5.15348
26.0,17,5.153487
44.0,17,5.153494
62.0,17,5.1535
66.0,17,5.153507
44.0,17,5.153513
62.0,17,5.573697
48.0,17,5.57375
48.0,17,5.57376
40.0,17,5.573767
40.0,17,5.573774
40.0,17,5.573781
58.0,17,5.573787
32.0,17,5.573794
66.0,17,5.692998
80.0,17,5.693046
44.0,17,5.693055
22.0,17,5.693063
48.0,17,5.693069
54.0,17,5.693076
44.0,17,5.693082
66.0,17,5.693089
48.0,17,5.738779
54.0,17,5.738821
22.0,17,5.738829
36.0,17,5.738837
48.0,17,5.738843
58.0,17,5.73885
26.0,17,5.738857
80.0,17,5.738863
62.0,17,5.777303
48.0,17,5.777343
14.0,17,5.777353
26.0,17,5.77736
40.0,17,5.777367
40.0,17,5.777374
40.0,17,5.77738
18.0,17,5.777386
58.0,17,5.813765
40.0,17,5.813801
40.0,17,5.81381
40.0,17,5.813818
48.0,17,5.813824
18.0,17,5.81383
26.0,17,5.813837
26.0,17,5.813843
36.0,17,5.848882
36.0,17,5.848915
58.0,17,5.848924
58.0,17,5.848931
62.0,17,5.848938
26.0,17,5.848944
32.0,17,5.84895
80.0,17,5.848957
36.0,17,5.876338
36.0,17,5.876369
80.0,17,5.876379
22.0,17,5.876386
32.0,17,5.876392
36.0,17,5.876398
62.0,17,5.876405
58.0,17,5.876411
58.0,17,5.900707
40.0,17,5.900737
44.0,17,5.900746
58.0,17,5.900753
44.0,17,5.900759
44.0,17,5.900765
62.0,17,5.900771
40.0,17,5.900777
80.0,17,5.920148
32.0,17,5.920179
66.0,17,5.920188
44.0,17,5.920195
58.0,17,5.920202
62.0,17,5.920208
54.0,17,5.920214
36.0,17,5.92022
44.0,17,5.939486
58.0,17,5.939517
40.0,17,5.939526
58.0,17,5.939533
18.0,17,5.939539
48.0,17,5.939546
32.0,17,5.939552
40.0,17,5.939559
58.0,17,5.958598
40.0,17,5.958628
26.0,17,5.958637
40.0,17,5.958643
36.0,17,5.958649
44.0,17,5.958654
48.0,17,5.95866
40.0,17,5.958667
40.0,17,5.97932
44.0,17,5.97935
40.0,17,5.979358
26.0,17,5.979365
62.0,17,5.979372
40.0,17,5.979378
44.0,17,5.979384
36.0,17,5.979391
40.0,17,6.002924
26.0,17,6.002954
48.0,17,6.002964
36.0,17,6.002971
26.0,17,6.002977
26.0,17,6.002984
26.0,17,6.00299
40.0,17,6.002996
40.0,17,6.025661
14.0,17,6.025691
48.0,17,6.0257
44.0,17,6.025707
40.0,17,6.025713
40.0,17,6.025719
48.0,17,6.025725
58.0,17,6.025732
62.0,17,6.050416
22.0,17,6.05045
40.0,17,6.050462
40.0,17,6.05047
44.0,17,6.050478
44.0,17,6.050486
26.0,17,6.050493
44.0,17,6.050501
26.0,17,6.520275
40.0,17,6.52033
48.0,17,6.520342
26.0,17,6.520351
36.0,17,6.520359
44.0,17,6.520366
44.0,17,6.520374
58.0,17,6.520381
36.0,17,7.108614
40.0,17,7.108721
40.0,17,7.108738
14.0,17,7.108749
66.0,17,7.108757
32.0,17,7.108766
66.0,17,7.108775
54.0,17,7.108783
32.0,17,7.666821
54.0,17,7.666898
26.0,17,7.666909
66.0,17,7.666916
26.0,17,7.666923
32.0,17,7.66693
26.0,17,7.666937
26.0,17,7.666943
40.0,17,8.169012
48.0,17,8.16907
32.0,17,8.169082
36.0,17,8.16909
80.0,17,8.169098
58.0,17,8.169106
32.0,17,8.16912
66.0,17,8.169127
26.0,17,8.659746
26.0,17,8.659823
26.0,17,8.659839
22.0,17,8.659848
48.0,17,8.659857
54.0,17,8.659864
80.0,17,8.659873
14.0,17,8.659881
26.0,17,8.914932
48.0,17,8.914984
26.0,17,8.914994
40.0,17,8.915
26.0,17,8.915007
18.0,17,8.915014
36.0,17,8.91502
14.0,17,8.915027
44.0,17,9.034948
66.0,17,9.034999
40.0,17,9.035009
44.0,17,9.035024
18.0,17,9.035031
48.0,17,9.035038
48.0,17,9.035044
66.0,17,9.03505
36.0,17,9.101076
40.0,17,9.101133
40.0,17,9.101142
44.0,17,9.101149
58.0,17,9.101155
32.0,17,9.101162
62.0,17,9.101171
40.0,17,9.101178
58.0,17,9.205036
40.0,17,9.205087
48.0,17,9.205097
40.0,17,9.205104
14.0,17,9.205118
26.0,17,9.205125
32.0,17,9.205131
40.0,17,9.205138
58.0,17,9.502255
44.0,17,9.502347
62.0,17,9.502361
62.0,17,9.50237
58.0,17,9.502378
48.0,17,9.502387
58.0,17,9.502394
54.0,17,9.502402
32.0,17,9.971845
44.0,17,9.971895
26.0,17,9.971905
14.0,17,9.971911
48.0,17,9.971918
40.0,17,9.971924
40.0,17,9.97193
48.0,17,9.971937
32.0,17,10.43974
44.0,17,10.439796
40.0,17,10.439808
62.0,17,10.439816
22.0,17,10.439824
44.0,17,10.439832
62.0,17,10.43984
36.0,17,10.439848
18.0,17,10.851992
26.0,17,10.852049
66.0,17,10.852063
58.0,17,10.852072
36.0,17,10.85208
40.0,17,10.852088
44.0,17,10.852096
48.0,17,10.852104
48.0,17,11.307115
48.0,17,11.307184
26.0,17,11.307194
44.0,17,11.307201
32.0,17,11.307207
54.0,17,11.307215
40.0,17,11.307222
40.0,17,11.30723
48.0,17,11.783361
66.0,17,11.783443
44.0,17,11.783453
44.0,17,11.78346
40.0,17,11.783467
40.0,17,11.783473
48.0,17,11.78348
62.0,17,11.783488
26.0,17,12.002869
36.0,17,12.002921
40.0,17,12.002931
26.0,17,12.002938
58.0,17,12.002944
36.0,17,12.002951
48.0,17,12.002958
66.0,17,12.002964
14.0,17,12.259442
26.0,17,12.259493
48.0,17,12.259504
66.0,17,12.259511
48.0,17,12.259518
48.0,17,12.259524
40.0,17,12.25953
14.0,17,12.259537
40.0,17,12.486886
66.0,17,12.486936
54.0,17,12.486946
44.0,17,12.486953
54.0,17,12.48696
26.0,17,12.486967
80.0,17,12.486973
48.0,17,12.48698
48.0,17,12.662848
66.0,17,12.662916
18.0,17,12.662927
58.0,17,12.662934
80.0,17,12.66294
44.0,17,12.662947
44.0,17,12.662955
66.0,17,12.662961
80.0,17,12.987622
26.0,17,12.987676
54.0,17,12.987686
32.0,17,12.987693
48.0,17,12.987701
40.0,17,12.987707
80.0,17,12.987714
40.0,17,12.987721
66.0,17,13.49934
66.0,17,13.49946
40.0,17,13.49947
14.0,17,13.499477
58.0,17,13.499484
14.0,17,13.49949
26.0,17,13.499496
26.0,17,13.499503
32.0,17,13.810557
32.0,17,13.810666
62.0,17,13.810683
26.0,17,13.810693
40.0,17,13.810701
66.0,17,13.810709
54.0,17,13.810717
62.0,17,13.810725
48.0,17,14.28414
48.0,17,14.284224
26.0,17,14.284235
40.0,17,14.284242
66.0,17,14.284249
48.0,17,14.284256
48.0,17,14.284263
58.0,17,14.28427
48.0,17,14.744027
48.0,17,14.744087
44.0,17,14.7441
26.0,17,14.744109
80.0,17,14.744117
48.0,17,14.744126
80.0,17,14.744134
44.0,17,14.744142
44.0,17,15.175
26.0,17,15.175051
26.0,17,15.175061
62.0,17,15.175068
80.0,17,15.175075
48.0,17,15.175082
40.0,17,15.175088
32.0,17,15.175095
40.0,17,15.563621
48.0,17,15.563695
62.0,17,15.563707
32.0,17,15.563715
62.0,17,15.563724
26.0,17,15.563731
48.0,17,15.56374
48.0,17,15.563748
44.0,17,16.03305
32.0,17,16.033104
80.0,17,16.033122
80.0,17,16.03313
40.0,17,16.033136
40.0,17,16.033143
40.0,17,16.03315
58.0,17,16.033157
44.0,17,16.535645
40.0,17,16.535779
18.0,17,16.53579
54.0,17,16.535798
66.0,17,16.535805
44.0,17,16.535811
58.0,17,16.535818
66.0,17,16.535824
66.0,17,17.014238
26.0,17,17.014294
40.0,17,17.014305
40.0,17,17.014314
44.0,17,17.014322
58.0,17,17.014329
26.0,17,17.014337
44.0,17,17.014344
58.0,17,17.49052
40.0,17,17.490606
54.0,17,17.490621
40.0,17,17.490629
32.0,17,17.490637
48.0,17,17.490656
44.0,17,17.490664
36.0,17,17.490672
26.0,17,17.97725
58.0,17,17.977319
62.0,17,17.97733
44.0,17,17.977337
26.0,17,17.977345
58.0,17,17.977352
66.0,17,17.977359
62.0,17,17.977365
48.0,17,18.467616
40.0,17,18.467668
44.0,17,18.467678
40.0,17,18.467685
40.0,17,18.467691
62.0,17,18.467698
32.0,17,18.467705
36.0,17,18.467713
54.0,17,18.947901
54.0,17,18.947995
40.0,17,18.948011
62.0,17,18.948021
18.0,17,18.94803
48.0,17,18.948038
58.0,17,18.948046
26.0,17,18.948054
18.0,17,19.39874
62.0,17,19.398818
40.0,17,19.398832
62.0,17,19.39884
26.0,17,19.398848
26.0,17,19.398856
32.0,17,19.398871
36.0,17,19.398882
26.0,17,19.927883
32.0,17,19.928025
26.0,17,19.928044
58.0,17,19.928054
40.0,17,19.928062
44.0,17,19.928071
58.0,17,19.928079
26.0,17,19.928086
40.0,17,20.359893
26.0,17,20.360005
62.0,17,20.360028
40.0,17,20.360039
18.0,17,20.360047
40.0,17,20.360055
18.0,17,20.360063
40.0,17,20.36007
66.0,17,20.856074
40.0,17,20.856131
48.0,17,20.856146
40.0,17,20.856155
44.0,17,20.856164
66.0,17,20.856173
32.0,17,20.85618
48.0,17,20.856194
54.0,17,21.335803
44.0,17,21.335894
26.0,17,21.335906
66.0,17,21.335914
48.0,17,21.335922
58.0,17,21.335929
44.0,17,21.335938
44.0,17,21.335947
58.0,17,21.829102
58.0,17,21.829179
26.0,17,21.82919
26.0,17,21.829197
80.0,17,21.829204
48.0,17,21.829211
80.0,17,21.829219
26.0,17,21.829226
18.0,17,22.331378
44.0,17,22.331488
36.0,17,22.331497
48.0,17,22.331504
80.0,17,22.331521
40.0,17,22.331528
36.0,17,22.331535
66.0,17,22.331542
66.0,17,22.754976
40.0,17,22.755033
48.0,17,22.755046
62.0,17,22.755054
32.0,17,22.755062
58.0,17,22.755084
54.0,17,22.755094
66.0,17,22.755103
32.0,17,23.206927
44.0,17,23.207034
44.0,17,23.20705
26.0,17,23.20706
48.0,17,23.207069
58.0,17,23.207077
32.0,17,23.207087
62.0,17,23.207095
0.0,17,23.711861
80.0,17,23.711994
80.0,17,23.712013
40.0,17,23.712023
66.0,17,23.712031
54.0,17,23.712039
44.0,17,23.712047
48.0,17,23.712055
26.0,17,23.898413
66.0,17,23.898469
66.0,17,23.898484
44.0,17,23.898493
66.0,17,23.8985
40.0,17,23.898509
48.0,17,23.898518
40.0,17,23.898525
26.0,17,24.268899
26.0,17,24.268957
36.0,17,24.268969
58.0,17,24.268979
58.0,17,24.268986
32.0,17,24.268994
40.0,17,24.269003
54.0,17,24.269011
44.0,17,24.653343
58.0,17,24.653416
58.0,17,24.653427
18.0,17,24.653434
48.0,17,24.65344
26.0,17,24.653447
22.0,17,24.653454
48.0,17,24.65346
40.0,17,25.084811
36.0,17,25.084893
58.0,17,25.084903
80.0,17,25.084911
22.0,17,25.084917
62.0,17,25.084924
26.0,17,25.08493
22.0,17,25.084936
54.0,17,25.194214
58.0,17,25.194265
58.0,17,25.194275
26.0,17,25.194282
80.0,17,25.194288
32.0,17,25.194295
66.0,17,25.194304
36.0,17,25.19431
48.0,17,25.230628
14.0,17,25.230671
66.0,17,25.230681
26.0,17,25.230688
40.0,17,25.230695
62.0,17,25.230701
40.0,17,25.230707
44.0,17,25.230714
66.0,17,25.267082
26.0,17,25.267122
44.0,17,25.267131
58.0,17,25.267139
26.0,17,25.267146
48.0,17,25.267152
18.0,17,25.267159
58.0,17,25.267165
62.0,17,25.303602
44.0,17,25.303641
48.0,17,25.303651
32.0,17,25.303658
14.0,17,25.303666
54.0,17,25.303672
58.0,17,25.303678
26.0,17,25.303685
66.0,17,25.338646
66.0,17,25.338684
36.0,17,25.338692
26.0,17,25.338699
62.0,17,25.338706
44.0,17,25.338712
26.0,17,25.338718
